,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
130,9,"329,96",0,1,Surburban,1,Phone,No Offer,0
131,7,"185,73",1,0,Surburban,0,Phone,Discount,0
132,11,"52,08",0,1,Urban,0,Web,Buy One Get One,0
133,1,"616,73",0,1,Urban,1,Web,Discount,0
134,9,"123,39",1,0,Urban,0,Phone,Buy One Get One,0
135,3,"249,71",1,0,Surburban,0,Phone,No Offer,0
136,2,"46,09",0,1,Urban,0,Web,No Offer,0
137,8,"48,87",1,0,Surburban,1,Web,Discount,0
138,10,"77,37",1,0,Surburban,0,Phone,Buy One Get One,0
139,4,"270,24",1,0,Urban,1,Phone,No Offer,0
140,9,"228,8",1,0,Surburban,0,Multichannel,Discount,1
141,3,"80,18",0,1,Urban,0,Phone,Buy One Get One,0
142,11,"131,76",0,1,Surburban,1,Web,Buy One Get One,1
143,9,"162,59",0,1,Urban,0,Phone,Discount,1
144,12,"87,62",1,0,Urban,1,Phone,Discount,0
145,3,"29,99",1,0,Surburban,0,Phone,Discount,0
146,3,"29,99",0,1,Urban,0,Web,Buy One Get One,0
147,7,"59,96",1,0,Urban,1,Web,Buy One Get One,0
148,7,"78,49",0,1,Rural,0,Web,Buy One Get One,0
149,2,"29,99",0,1,Surburban,0,Phone,Discount,0
150,7,"206,8",1,0,Surburban,0,Phone,Buy One Get One,0
151,7,"229,53",1,0,Surburban,0,Web,Discount,1
152,1,"439,93",1,1,Rural,1,Multichannel,No Offer,0
153,10,"313,67",1,0,Rural,1,Phone,Buy One Get One,1
154,7,"29,99",1,0,Surburban,1,Web,Buy One Get One,0
155,3,"57,33",0,1,Surburban,0,Web,Buy One Get One,1
156,2,"289,55",0,1,Rural,0,Phone,No Offer,1
157,5,"29,99",0,1,Surburban,1,Phone,Discount,1
158,9,"274,29",1,0,Surburban,0,Web,No Offer,0
159,1,"293,37",1,0,Surburban,0,Phone,No Offer,0
160,12,"29,99",1,0,Urban,1,Phone,No Offer,0
161,1,"407,09",1,0,Surburban,0,Web,No Offer,0
162,1,"142,4",0,1,Surburban,0,Phone,No Offer,0
163,1,"29,99",0,1,Urban,1,Web,Discount,0
164,12,"284,54",1,1,Surburban,0,Web,Discount,0
165,2,"60,2",0,1,Surburban,1,Web,No Offer,0
166,4,"1089,77",1,0,Urban,1,Multichannel,Discount,0
167,7,"29,99",1,0,Surburban,1,Web,Buy One Get One,0
168,1,"747,31",0,1,Rural,1,Web,Buy One Get One,0
169,6,"136,63",1,0,Urban,1,Web,Buy One Get One,0
170,10,"29,99",1,0,Rural,1,Web,Buy One Get One,0
171,11,"54,11",1,0,Urban,1,Web,Buy One Get One,0
172,1,"790,36",1,1,Urban,1,Multichannel,Discount,0
173,4,"36,49",1,0,Urban,1,Web,No Offer,0
174,12,"271,89",1,0,Rural,0,Web,Discount,0
175,5,"399,46",1,0,Surburban,0,Web,Buy One Get One,0
176,3,"39,83",0,1,Urban,1,Phone,Discount,1
177,10,"153,58",1,0,Surburban,0,Phone,Buy One Get One,0
178,5,"269,99",1,1,Surburban,0,Phone,Discount,0
179,2,"29,99",1,0,Urban,1,Web,Buy One Get One,0
180,4,"292,61",1,0,Surburban,0,Multichannel,No Offer,0
181,2,"576,02",0,1,Surburban,1,Web,Buy One Get One,0
182,6,"29,99",1,0,Surburban,0,Web,No Offer,0
183,9,"116,3",1,0,Rural,1,Web,Discount,1
184,5,"29,99",1,0,Surburban,0,Web,No Offer,0
185,3,"29,99",0,1,Urban,1,Web,No Offer,0
186,7,"968,65",1,1,Surburban,1,Web,Buy One Get One,0
187,7,"39,78",0,1,Surburban,0,Web,Discount,0
188,9,"311,81",1,0,Urban,0,Multichannel,Buy One Get One,1
189,1,"720,17",1,1,Urban,1,Phone,Discount,0
190,4,"69,08",0,1,Urban,0,Phone,Discount,0
191,12,"80,56",1,0,Urban,0,Web,Buy One Get One,0
192,1,"301,19",1,0,Surburban,1,Web,No Offer,0
193,10,"307,64",0,1,Urban,0,Multichannel,Discount,0
194,7,"481,56",1,0,Surburban,0,Web,Discount,0
195,10,"29,99",0,1,Surburban,0,Web,No Offer,0
196,1,"895,43",0,1,Surburban,1,Web,Buy One Get One,0
197,5,"425,1",1,0,Rural,1,Phone,Discount,0
198,10,"36,28",1,0,Urban,1,Web,No Offer,0
199,4,"413,46",0,1,Rural,0,Phone,Buy One Get One,0
200,7,"32,42",1,0,Surburban,0,Phone,No Offer,0
201,10,"170,32",1,0,Urban,1,Phone,Buy One Get One,0
202,1,"150,93",1,0,Surburban,0,Web,No Offer,0
203,11,"223,39",1,0,Rural,1,Phone,Buy One Get One,0
204,1,"506,51",1,0,Urban,1,Multichannel,No Offer,0
205,8,"575,62",1,1,Urban,1,Multichannel,Discount,0
206,3,"29,99",0,1,Surburban,0,Web,Buy One Get One,1
207,2,"145,76",0,1,Surburban,1,Web,No Offer,1
208,1,"29,99",1,0,Rural,1,Phone,Buy One Get One,0
209,8,"428,0",1,0,Surburban,1,Multichannel,No Offer,0
210,6,"604,39",1,1,Urban,1,Phone,No Offer,0
211,8,"171,88",1,0,Surburban,0,Phone,No Offer,0
212,4,"370,86",0,1,Surburban,0,Multichannel,Buy One Get One,0
213,8,"138,62",0,1,Urban,1,Web,Buy One Get One,0
214,7,"29,99",1,0,Surburban,1,Web,Discount,0
215,1,"209,98",1,0,Surburban,0,Web,No Offer,1
216,3,"166,0",0,1,Urban,0,Web,No Offer,0
217,10,"88,37",0,1,Urban,0,Phone,Buy One Get One,1
218,8,"336,76",0,1,Surburban,0,Phone,Discount,0
219,1,"60,71",0,1,Rural,1,Phone,Buy One Get One,0
220,4,"356,73",0,1,Surburban,0,Web,No Offer,0
221,4,"52,12",1,0,Urban,0,Phone,Discount,0
222,7,"406,7",0,1,Surburban,1,Phone,Discount,0
223,6,"277,81",1,0,Surburban,1,Multichannel,No Offer,0
224,1,"181,98",0,1,Urban,1,Web,Discount,0
225,2,"112,13",1,0,Urban,1,Web,Buy One Get One,0
226,5,"29,99",0,1,Rural,1,Web,No Offer,0
227,5,"439,26",1,0,Surburban,0,Multichannel,Buy One Get One,0
228,8,"64,16",0,1,Surburban,0,Web,Buy One Get One,0
229,5,"29,99",0,1,Surburban,0,Web,No Offer,1
230,6,"29,99",0,1,Urban,1,Web,Discount,0
231,2,"591,95",0,1,Urban,1,Multichannel,Buy One Get One,0
232,8,"130,31",1,0,Surburban,1,Phone,No Offer,0
233,3,"65,26",1,0,Urban,0,Web,Discount,1
234,10,"132,46",1,0,Urban,0,Phone,Buy One Get One,0
235,4,"225,89",1,1,Rural,1,Web,Buy One Get One,0
236,2,"115,56",0,1,Surburban,1,Web,No Offer,0
237,8,"104,94",0,1,Urban,0,Phone,No Offer,0
238,7,"69,44",1,0,Rural,0,Web,Discount,1
239,10,"47,47",0,1,Surburban,0,Phone,Buy One Get One,0
240,1,"215,08",0,1,Surburban,0,Web,Buy One Get One,1
241,2,"224,89",1,1,Urban,0,Multichannel,No Offer,0
242,9,"201,75",1,1,Surburban,0,Phone,Buy One Get One,0
243,5,"354,03",1,0,Urban,0,Web,Discount,0
244,10,"151,43",1,0,Urban,0,Web,No Offer,0
245,11,"120,14",1,0,Urban,0,Web,Discount,0
246,5,"159,41",0,1,Surburban,1,Phone,Buy One Get One,1
247,5,"290,86",1,0,Urban,1,Web,No Offer,0
248,4,"87,2",0,1,Surburban,1,Phone,Buy One Get One,1
249,11,"81,06",1,0,Urban,0,Web,Discount,0
250,10,"55,11",1,0,Urban,1,Web,Discount,0
251,1,"513,83",0,1,Surburban,1,Multichannel,Discount,0
252,4,"770,38",0,1,Rural,1,Multichannel,No Offer,0
253,1,"33,5",1,0,Surburban,0,Web,Discount,0
254,2,"56,25",1,0,Surburban,1,Phone,Discount,0
255,2,"1093,92",1,1,Surburban,1,Web,No Offer,0
256,1,"752,8",1,1,Urban,1,Phone,No Offer,0
257,2,"199,95",1,0,Surburban,1,Phone,No Offer,0
258,9,"239,91",0,1,Rural,0,Phone,No Offer,0
259,8,"43,16",0,1,Urban,1,Phone,No Offer,0
260,2,"418,81",0,1,Surburban,0,Multichannel,No Offer,0
261,9,"318,52",0,1,Urban,0,Web,Buy One Get One,0
262,1,"109,26",0,1,Surburban,1,Web,Buy One Get One,1
263,3,"67,4",1,0,Surburban,0,Web,Discount,0
264,9,"135,02",1,0,Surburban,1,Web,Buy One Get One,0
265,10,"54,25",0,1,Surburban,0,Web,Discount,0
266,3,"55,34",1,0,Surburban,1,Phone,Buy One Get One,0
267,4,"297,8",1,1,Urban,0,Phone,Buy One Get One,1
268,4,"146,49",0,1,Surburban,0,Phone,Buy One Get One,0
269,7,"329,26",0,1,Urban,0,Web,Discount,0
270,1,"29,99",1,0,Rural,1,Phone,Discount,0
271,4,"249,61",0,1,Urban,1,Phone,Buy One Get One,0
272,5,"39,52",1,0,Surburban,1,Phone,Discount,0
273,1,"307,58",1,0,Surburban,0,Multichannel,No Offer,0
274,6,"92,32",0,1,Urban,0,Phone,Discount,0
275,6,"464,17",0,1,Surburban,0,Multichannel,Buy One Get One,0
276,6,"29,99",1,0,Surburban,1,Web,Buy One Get One,0
277,2,"435,33",0,1,Surburban,0,Web,Buy One Get One,0
278,10,"375,9",0,1,Urban,0,Web,Discount,0
279,9,"29,99",1,0,Urban,0,Web,Discount,0
280,9,"220,51",1,0,Urban,0,Multichannel,Discount,0
281,5,"180,28",0,1,Surburban,0,Phone,Buy One Get One,0
282,6,"78,69",0,1,Surburban,0,Phone,Discount,0
283,2,"350,48",1,0,Urban,1,Web,Buy One Get One,0
284,3,"376,14",1,0,Surburban,0,Phone,No Offer,0
285,1,"179,63",1,0,Surburban,0,Phone,Discount,1
286,6,"164,51",1,0,Surburban,0,Phone,Buy One Get One,1
287,8,"59,76",0,1,Urban,1,Web,Discount,0
288,11,"29,99",0,1,Surburban,0,Web,Buy One Get One,0
289,2,"407,64",0,1,Urban,1,Web,Buy One Get One,0
290,1,"143,0",0,1,Urban,0,Phone,Buy One Get One,0
291,4,"320,17",0,1,Urban,1,Phone,Discount,0
292,1,"103,07",1,0,Surburban,0,Web,Discount,0
293,10,"35,84",1,0,Urban,1,Phone,No Offer,0
294,3,"190,66",0,1,Surburban,1,Web,Buy One Get One,0
295,2,"90,91",1,0,Surburban,0,Web,Discount,0
296,5,"215,03",0,1,Urban,1,Web,No Offer,0
297,1,"856,4",0,1,Urban,1,Web,No Offer,0
298,10,"139,83",1,0,Urban,1,Phone,Discount,0
299,10,"245,09",1,0,Urban,0,Multichannel,No Offer,0
300,6,"127,2",0,1,Surburban,0,Phone,No Offer,0
301,1,"470,65",1,0,Urban,0,Phone,Discount,0
302,1,"59,13",1,0,Urban,1,Web,Discount,0
303,3,"327,1",1,0,Surburban,1,Web,No Offer,0
304,1,"399,72",1,1,Surburban,0,Phone,Discount,1
305,3,"29,99",1,0,Urban,0,Phone,No Offer,0
306,6,"398,03",1,1,Surburban,0,Phone,No Offer,0
307,4,"134,24",0,1,Urban,0,Web,Discount,1
308,10,"290,55",0,1,Surburban,0,Web,Discount,0
309,7,"29,99",1,0,Surburban,0,Web,No Offer,0
310,4,"87,69",1,0,Surburban,0,Web,Discount,0
311,10,"335,77",0,1,Rural,0,Multichannel,Buy One Get One,0
312,12,"465,37",0,1,Rural,1,Multichannel,No Offer,0
313,12,"75,26",1,0,Urban,1,Phone,Buy One Get One,0
314,10,"327,18",0,1,Urban,0,Phone,Buy One Get One,0
315,1,"188,89",0,1,Surburban,1,Web,No Offer,0
316,4,"49,8",1,0,Urban,1,Web,Discount,0
317,7,"688,51",1,1,Rural,1,Multichannel,Buy One Get One,0
318,3,"229,42",0,1,Rural,0,Multichannel,No Offer,0
319,1,"253,18",0,1,Surburban,0,Multichannel,Discount,0
320,2,"156,4",0,1,Surburban,0,Web,Discount,0
321,2,"196,93",0,1,Rural,1,Web,Buy One Get One,0
322,4,"557,47",1,0,Urban,1,Web,No Offer,0
323,12,"177,66",1,0,Surburban,0,Phone,Buy One Get One,1
324,9,"29,99",0,1,Surburban,0,Phone,Buy One Get One,0
325,11,"140,07",0,1,Urban,1,Web,Discount,0
326,10,"168,04",1,0,Urban,0,Web,No Offer,0
327,5,"173,65",1,0,Urban,0,Web,Buy One Get One,0
328,4,"164,7",1,0,Surburban,0,Phone,No Offer,0
329,2,"57,53",1,0,Urban,1,Phone,No Offer,0
330,10,"29,99",1,0,Urban,0,Web,Buy One Get One,0
331,3,"188,19",1,0,Urban,0,Phone,Discount,1
332,10,"29,99",0,1,Surburban,0,Web,No Offer,1
333,1,"35,23",1,0,Urban,1,Phone,Discount,0
334,4,"63,22",1,0,Surburban,0,Web,Buy One Get One,0
335,4,"550,59",1,0,Surburban,1,Web,No Offer,0
336,6,"232,94",1,0,Surburban,1,Multichannel,Discount,0
337,11,"91,23",1,0,Urban,0,Web,Buy One Get One,0
338,2,"571,53",1,0,Rural,1,Multichannel,Buy One Get One,0
339,1,"169,31",0,1,Rural,1,Web,Buy One Get One,0
340,10,"205,88",1,0,Urban,0,Phone,No Offer,0
341,1,"1281,48",1,0,Urban,1,Phone,Discount,0
342,3,"29,99",1,0,Urban,0,Web,No Offer,1
343,3,"542,16",1,0,Urban,1,Phone,Discount,1
344,7,"424,6",0,1,Surburban,1,Phone,Buy One Get One,0
345,6,"507,25",0,1,Urban,1,Phone,Discount,0
346,10,"29,99",1,0,Rural,0,Web,Discount,0
347,2,"373,14",0,1,Urban,0,Multichannel,Buy One Get One,1
348,7,"60,02",1,0,Surburban,1,Phone,Discount,0
349,1,"68,5",0,1,Urban,0,Phone,No Offer,0
350,11,"37,45",0,1,Urban,0,Phone,No Offer,0
351,2,"38,34",1,0,Urban,0,Web,Buy One Get One,0
352,5,"545,73",1,0,Surburban,1,Multichannel,Buy One Get One,0
353,4,"70,39",0,1,Surburban,1,Web,No Offer,0
354,6,"98,8",0,1,Rural,1,Phone,Discount,1
355,9,"29,99",1,0,Urban,0,Web,Buy One Get One,0
356,5,"556,5",0,1,Rural,1,Web,Discount,0
357,4,"29,99",1,0,Urban,0,Phone,Buy One Get One,0
358,6,"136,26",0,1,Rural,1,Web,No Offer,0
359,2,"936,63",1,0,Urban,1,Phone,Buy One Get One,0
360,9,"172,14",0,1,Urban,0,Phone,Discount,0
361,2,"203,52",1,1,Urban,1,Multichannel,No Offer,1
362,1,"422,81",0,1,Urban,0,Phone,Buy One Get One,1
363,10,"320,11",0,1,Rural,0,Web,No Offer,0
364,12,"29,99",0,1,Surburban,0,Phone,Buy One Get One,0
365,8,"267,25",0,1,Surburban,0,Phone,Discount,0
366,11,"164,9",0,1,Surburban,0,Phone,Buy One Get One,0
367,11,"265,39",0,1,Surburban,0,Multichannel,Buy One Get One,0
368,9,"744,22",1,0,Rural,1,Web,No Offer,0
369,3,"99,25",1,0,Surburban,1,Phone,No Offer,0
370,5,"62,49",1,0,Rural,0,Web,No Offer,0
371,4,"72,66",0,1,Surburban,1,Phone,Discount,0
372,10,"333,65",0,1,Surburban,0,Web,No Offer,0
373,7,"340,18",0,1,Urban,0,Phone,No Offer,0
374,4,"300,58",0,1,Surburban,1,Web,Buy One Get One,0
375,10,"62,63",0,1,Surburban,1,Phone,Discount,0
376,10,"357,28",0,1,Surburban,0,Web,Buy One Get One,0
377,5,"283,55",1,0,Urban,1,Phone,No Offer,0
378,9,"48,93",1,0,Rural,1,Phone,Buy One Get One,0
379,9,"54,34",1,0,Surburban,0,Phone,Discount,1
380,5,"247,82",1,0,Urban,0,Phone,Discount,0
381,11,"178,56",1,0,Urban,0,Phone,Discount,0
382,2,"86,38",1,0,Urban,1,Web,Discount,0
383,7,"233,4",1,1,Urban,0,Multichannel,No Offer,0
384,2,"189,67",1,0,Rural,1,Web,Buy One Get One,0
385,1,"1524,15",1,0,Rural,1,Web,No Offer,0
386,5,"544,43",0,1,Urban,1,Web,Buy One Get One,0
387,8,"60,69",1,0,Urban,1,Phone,Buy One Get One,0
388,10,"57,71",0,1,Surburban,0,Web,Discount,0
389,4,"410,86",0,1,Urban,0,Web,No Offer,0
390,6,"40,24",1,0,Surburban,1,Phone,Discount,0
391,9,"535,17",0,1,Surburban,1,Web,Discount,0
392,3,"584,63",1,1,Surburban,1,Web,No Offer,0
393,1,"29,99",1,0,Urban,1,Phone,Discount,0
394,3,"1570,59",1,1,Urban,1,Web,Buy One Get One,0
395,5,"119,47",1,0,Surburban,0,Phone,No Offer,0
396,7,"68,86",0,1,Surburban,0,Phone,No Offer,0
397,3,"68,81",0,1,Urban,0,Phone,Discount,0
398,9,"165,62",0,1,Urban,0,Web,No Offer,0
399,1,"686,08",1,1,Urban,1,Web,No Offer,0
400,3,"263,07",0,1,Surburban,0,Web,Buy One Get One,0
401,5,"568,26",0,1,Surburban,1,Multichannel,Buy One Get One,0
402,7,"145,89",0,1,Urban,0,Phone,No Offer,0
403,2,"190,4",0,1,Rural,1,Web,Buy One Get One,1
404,5,"964,59",0,1,Surburban,1,Phone,No Offer,0
405,10,"158,55",0,1,Surburban,0,Phone,Buy One Get One,0
406,7,"578,35",0,1,Surburban,1,Web,Discount,1
407,7,"93,33",1,0,Urban,0,Web,No Offer,0
408,9,"157,76",1,0,Urban,0,Phone,Buy One Get One,0
409,2,"762,0",1,0,Surburban,1,Web,Buy One Get One,0
410,5,"29,99",1,0,Surburban,0,Phone,Buy One Get One,0
411,2,"235,19",1,0,Urban,1,Multichannel,Buy One Get One,0
412,5,"42,3",0,1,Urban,0,Phone,No Offer,0
413,4,"474,94",0,1,Urban,1,Web,Discount,0
414,7,"291,88",1,0,Urban,0,Multichannel,No Offer,0
415,3,"80,51",1,0,Surburban,1,Web,Buy One Get One,0
416,2,"224,69",1,1,Urban,0,Web,Buy One Get One,0
417,6,"32,17",1,0,Urban,1,Phone,Discount,0
418,4,"553,42",1,0,Rural,1,Web,Buy One Get One,1
419,1,"219,3",0,1,Surburban,0,Phone,Buy One Get One,0
420,1,"200,26",1,0,Surburban,0,Multichannel,No Offer,0
421,8,"1137,96",0,1,Surburban,1,Phone,Discount,0
422,8,"29,99",0,1,Urban,1,Phone,Buy One Get One,0
423,9,"51,53",1,0,Surburban,1,Phone,No Offer,0
424,3,"177,36",0,1,Surburban,1,Web,Discount,0
425,9,"34,75",1,0,Urban,1,Web,No Offer,0
426,8,"402,84",1,0,Surburban,0,Phone,No Offer,0
427,1,"276,21",1,0,Surburban,0,Phone,No Offer,0
428,1,"960,02",1,1,Rural,1,Web,No Offer,1
429,1,"100,92",0,1,Urban,1,Web,No Offer,0
430,7,"770,87",1,1,Urban,1,Phone,Buy One Get One,0
431,7,"63,95",1,0,Urban,1,Phone,Buy One Get One,0
432,7,"348,44",0,1,Surburban,1,Web,Discount,0
433,11,"29,99",0,1,Rural,0,Web,Discount,0
434,3,"216,08",0,1,Urban,0,Phone,No Offer,0
435,3,"211,88",1,1,Surburban,0,Web,Buy One Get One,0
436,9,"129,46",1,0,Urban,1,Phone,Discount,0
437,11,"189,23",1,0,Surburban,0,Web,Buy One Get One,0
438,10,"149,31",0,1,Rural,1,Phone,Buy One Get One,0
439,4,"218,92",0,1,Surburban,0,Web,Discount,1
440,3,"109,34",0,1,Surburban,0,Phone,Discount,0
441,2,"32,18",1,0,Surburban,1,Web,Discount,0
442,7,"287,73",1,1,Urban,0,Web,No Offer,1
443,4,"29,99",0,1,Urban,1,Phone,No Offer,0
444,12,"98,17",0,1,Surburban,1,Web,No Offer,0
445,3,"297,33",0,1,Urban,0,Phone,Buy One Get One,0
446,5,"728,99",1,0,Urban,1,Web,Discount,0
447,9,"483,16",1,1,Urban,0,Phone,Discount,1
448,4,"93,36",1,0,Surburban,1,Phone,No Offer,0
449,2,"542,34",0,1,Urban,1,Phone,No Offer,0
